MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367369550,2019-09-08T05:17:35,31.1431,-81.49663,0.0,355.6,165.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367569620,2019-09-08T05:16:46,31.16721,-81.41448,0.0,161.7,511.0,PURA VIDA,,WDG7668,37.0,,14.0,,,,B
367691290,2019-09-08T05:17:42,31.14212,-81.49645,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
338184094,2019-09-08T05:17:01,31.15499,-81.49957,0.0,115.7,511.0,DULCINEA,,,37.0,,11.0,,,,B
367753660,2019-09-08T05:18:28,31.15608,-81.49925,0.0,226.4,511.0,AQUAMARINE,,WDI9937,37.0,,,,,,B
367762440,2019-09-08T05:12:47,31.15413,-81.49951,0.0,340.5,511.0,SILVER GIRL II,,WDJ2861,37.0,,,,,,B
367305420,2019-09-08T05:13:36,31.1286,-81.51761,2.8,114.9,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
338143506,2019-09-08T05:17:57,31.15969,-81.49973,0.0,268.3,511.0,MORNING SUN II,,,37.0,,13.0,,,,B
369201000,2019-09-08T05:18:07,31.1567,-81.49921,0.0,14.3,511.0,SALTY VIXEN,,WDJ2910,37.0,,,,,,B
367305420,2019-09-08T05:14:57,31.12814,-81.51644,2.9,114.3,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
369273000,2019-09-08T05:14:18,31.1604,-81.49997,0.0,328.2,511.0,ESCAPE PLAN,IMO0000000,WDJ6018,36.0,,13.0,7.0,,,B
367369550,2019-09-08T05:16:26,31.14312,-81.49664,0.0,343.7,166.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367762440,2019-09-08T05:15:47,31.15417,-81.49952,0.1,340.5,511.0,SILVER GIRL II,,WDJ2861,37.0,,,,,,B
367305420,2019-09-08T05:16:47,31.12753,-81.51496,2.7,119.3,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367305420,2019-09-08T05:18:07,31.12699,-81.51398,2.7,118.3,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
538007762,2019-09-08T05:19:03,31.10934,-81.46582,12.1,112.6,111.0,,,,,0.0,,,,,A
311828000,2019-09-08T05:18:56,31.13155,-81.49311,0.0,169.8,344.0,KUJAWY,IMO9285029,C6TX7,70.0,5.0,190.0,28.0,10.4,,A
367305420,2019-09-08T05:19:47,31.12652,-81.51263,2.7,111.4,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367157730,2019-09-08T05:19:19,31.15825,-81.49931,0.0,71.3,189.0,AESTIVAL,,WBD6821,37.0,,15.0,4.0,,,B
338335542,2019-09-08T05:18:49,31.16744,-81.41486,0.0,293.8,511.0,STILL WATERS,IMO0000000,,37.0,,16.0,6.0,,,B
367691290,2019-09-08T05:20:02,31.14213,-81.49643,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367369550,2019-09-08T05:18:45,31.1431,-81.49662,0.0,344.7,165.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367691290,2019-09-08T05:18:51,31.14212,-81.49643,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367063030,2019-09-08T05:18:51,31.1141,-81.4884,0.0,0.0,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,5.0,51.0,12.0,,60.0,A
368004680,2019-09-08T05:19:25,31.16682,-81.4157,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
538007762,2019-09-08T05:20:22,31.10764,-81.46114,11.8,112.5,111.0,,,,,0.0,,,,,A
367762440,2019-09-08T05:18:47,31.15414,-81.49948,0.0,340.5,511.0,SILVER GIRL II,,WDJ2861,37.0,,,,,,B
367569620,2019-09-08T05:19:44,31.16722,-81.4145,0.0,161.7,511.0,PURA VIDA,,WDG7668,37.0,,14.0,,,,B
338184094,2019-09-08T05:19:59,31.15501,-81.49957,0.0,115.7,511.0,DULCINEA,,,37.0,,11.0,,,,B
367094180,2019-09-08T05:20:00,31.15501,-81.49942,0.0,144.3,511.0,CHICORY,,WDC8861,37.0,,14.0,4.0,,,B
369273000,2019-09-08T05:20:14,31.1604,-81.49997,0.0,328.2,511.0,ESCAPE PLAN,IMO0000000,WDJ6018,36.0,,13.0,7.0,,,B
367369550,2019-09-08T05:19:55,31.1431,-81.49664,0.0,354.6,166.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
338143506,2019-09-08T05:20:57,31.15969,-81.49972,0.0,169.1,511.0,MORNING SUN II,,,37.0,,13.0,,,,B
367369550,2019-09-08T05:20:56,31.1431,-81.49664,0.0,351.1,166.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
