,MMSI,BaseDateTime,LAT,LON,SOG,COG
5745,338184094,2019-09-08T11:55:59,31.155,-81.49957,0.0,115.7
5758,338184094,2019-09-08T11:58:59,31.15501,-81.49958,0.0,115.7
5776,338184094,2019-09-08T12:02:00,31.155,-81.49958,0.0,115.7
5820,338184094,2019-09-08T12:05:00,31.15499,-81.49956,0.0,115.7
5839,338184094,2019-09-08T12:08:00,31.15501,-81.49959,0.0,115.7
5861,338184094,2019-09-08T12:10:59,31.15499,-81.49956,0.0,115.7
5895,338184094,2019-09-08T12:13:59,31.155,-81.49957,0.0,115.7
5945,338184094,2019-09-08T12:19:59,31.15499,-81.49956,0.0,115.7
5959,338184094,2019-09-08T12:16:58,31.155,-81.49956,0.0,115.7
5983,338184094,2019-09-08T12:22:59,31.15499,-81.49957,0.0,115.7
6001,338184094,2019-09-08T12:25:58,31.15499,-81.49957,0.0,115.7
6027,338184094,2019-09-08T12:28:59,31.15499,-81.49957,0.0,115.7
6057,338184094,2019-09-08T12:31:59,31.15498,-81.49957,0.0,115.7
6079,338184094,2019-09-08T12:34:58,31.155,-81.49959,0.0,115.7
6123,338184094,2019-09-08T12:37:59,31.155,-81.49958,0.0,115.7
6128,338184094,2019-09-08T12:40:59,31.155,-81.49958,0.0,115.7
6144,338184094,2019-09-08T12:44:01,31.15499,-81.49958,0.0,115.7
6165,338184094,2019-09-08T12:46:58,31.15499,-81.49956,0.0,115.7
6179,338184094,2019-09-08T12:52:59,31.15499,-81.49956,0.0,115.7
6222,338184094,2019-09-08T12:55:59,31.15499,-81.49957,0.0,115.7
6233,338184094,2019-09-08T12:58:59,31.155,-81.49957,0.0,115.7
6259,338184094,2019-09-08T13:01:59,31.155,-81.49957,0.0,115.7
6291,338184094,2019-09-08T13:05:02,31.155,-81.49958,0.0,115.7
6337,338184094,2019-09-08T13:10:59,31.15499,-81.49955,0.0,115.7
6363,338184094,2019-09-08T13:13:59,31.15498,-81.49956,0.0,115.7
6386,338184094,2019-09-08T13:16:59,31.15497,-81.49955,0.0,115.7
6410,338184094,2019-09-08T13:19:59,31.155,-81.49958,0.0,115.7
6432,338184094,2019-09-08T13:22:59,31.15498,-81.49957,0.0,115.7
6446,338184094,2019-09-08T13:25:59,31.15498,-81.49956,0.0,115.7
6481,338184094,2019-09-08T13:28:59,31.155,-81.49956,0.0,115.7
6490,338184094,2019-09-08T13:31:59,31.15501,-81.49956,0.0,115.7
6507,338184094,2019-09-08T13:34:59,31.15498,-81.49956,0.0,115.7
6528,338184094,2019-09-08T13:40:59,31.15501,-81.49957,0.0,115.7
6529,338184094,2019-09-08T13:37:59,31.15498,-81.49957,0.0,115.7
6568,338184094,2019-09-08T13:44:03,31.15501,-81.49958,0.0,115.7
6591,338184094,2019-09-08T13:46:59,31.15499,-81.49957,0.0,115.7
6608,338184094,2019-09-08T13:49:59,31.15498,-81.49956,0.0,115.7
6628,338184094,2019-09-08T13:55:59,31.15499,-81.49956,0.0,115.7
6664,338184094,2019-09-08T13:58:59,31.15498,-81.49957,0.0,115.7
6701,338184094,2019-09-08T14:01:59,31.155,-81.49957,0.0,115.7
6722,338184094,2019-09-08T14:04:59,31.15501,-81.49959,0.0,115.7
6776,338184094,2019-09-08T14:10:59,31.15501,-81.49957,0.0,115.7
6780,338184094,2019-09-08T14:07:59,31.155,-81.49957,0.0,115.7
6802,338184094,2019-09-08T14:14:00,31.15498,-81.49957,0.0,115.7
6819,338184094,2019-09-08T14:16:59,31.15498,-81.49957,0.0,115.7
6862,338184094,2019-09-08T14:20:03,31.155,-81.49958,0.0,115.7
6893,338184094,2019-09-08T14:25:59,31.15498,-81.49956,0.0,115.7
6900,338184094,2019-09-08T14:22:59,31.15501,-81.49958,0.0,115.7
6915,338184094,2019-09-08T14:29:00,31.15499,-81.49956,0.0,115.7
6939,338184094,2019-09-08T14:32:00,31.15502,-81.49958,0.0,115.7
6983,338184094,2019-09-08T14:38:02,31.155,-81.49958,0.0,115.7
6994,338184094,2019-09-08T14:40:59,31.15498,-81.49958,0.0,115.7
7030,338184094,2019-09-08T14:44:00,31.15498,-81.49959,0.0,115.7
7064,338184094,2019-09-08T14:49:59,31.15497,-81.49957,0.0,115.7
7077,338184094,2019-09-08T14:46:58,31.15496,-81.49957,0.0,115.7
7106,338184094,2019-09-08T14:56:00,31.15497,-81.49957,0.0,115.7
7141,338184094,2019-09-08T15:01:59,31.155,-81.49957,0.0,115.7
7167,338184094,2019-09-08T15:04:59,31.15501,-81.49957,0.0,115.7
7182,338184094,2019-09-08T15:07:59,31.15496,-81.49957,0.0,115.7
7204,338184094,2019-09-08T15:10:59,31.155,-81.49957,0.0,115.7
7220,338184094,2019-09-08T15:14:01,31.155,-81.49958,0.0,115.7
7247,338184094,2019-09-08T15:16:59,31.15499,-81.49957,0.0,115.7
7272,338184094,2019-09-08T15:19:59,31.155,-81.49959,0.0,115.7
7281,338184094,2019-09-08T15:22:58,31.15496,-81.49956,0.0,115.7
7299,338184094,2019-09-08T15:26:02,31.15498,-81.49958,0.0,115.7
7322,338184094,2019-09-08T15:28:59,31.155,-81.49957,0.0,115.7
7324,338184094,2019-09-08T15:31:59,31.155,-81.49958,0.0,115.7
7350,338184094,2019-09-08T15:34:59,31.15499,-81.49957,0.0,115.7
7369,338184094,2019-09-08T15:37:58,31.15501,-81.49958,0.0,115.7
7386,338184094,2019-09-08T15:40:59,31.155,-81.49956,0.0,115.7
7400,338184094,2019-09-08T15:43:58,31.15501,-81.49957,0.0,115.7
7422,338184094,2019-09-08T15:46:59,31.15499,-81.49958,0.0,115.7
7442,338184094,2019-09-08T15:50:01,31.15501,-81.49957,0.0,115.7
7461,338184094,2019-09-08T15:52:59,31.15502,-81.49958,0.0,115.7
7504,338184094,2019-09-08T15:58:59,31.15499,-81.49958,0.0,115.7
