MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
316005498,2020-06-01T04:50:45,49.32107,-123.38351,7.0,273.1,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T04:52:03,49.3804,-123.32583,8.8,65.2,62.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316017005,2020-06-01T04:52:14,49.37815,-123.33295,0.0,111.7,511.0,WIDGEON I,,,37.0,,,,,,B
316001247,2020-06-01T04:53:06,49.38154,-123.32219,9.1,68.4,74.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316027057,2020-06-01T04:51:45,49.37888,-123.33283,0.0,358.9,511.0,CHINOOK,,CFK5228,37.0,,,,,,B
316001247,2020-06-01T04:54:14,49.3821,-123.3179,9.1,82.6,84.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316005498,2020-06-01T04:53:06,49.32146,-123.39032,6.8,273.9,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316008039,2020-06-01T04:53:42,49.35586,-123.27313,0.0,0.0,511.0,WINESK,,VG9188,37.0,,12.0,4.0,2.2,,B
316005498,2020-06-01T04:54:27,49.32151,-123.39417,6.8,269.9,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316017005,2020-06-01T04:55:12,49.37815,-123.33293,0.0,111.7,511.0,WIDGEON I,,,37.0,,,,,,B
316001247,2020-06-01T04:55:23,49.38243,-123.31346,9.1,83.8,85.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316005498,2020-06-01T04:55:45,49.32155,-123.39796,6.9,271.7,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T04:56:42,49.38282,-123.3084,9.0,83.4,85.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316001247,2020-06-01T04:57:53,49.38317,-123.30385,9.1,83.4,85.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316005498,2020-06-01T04:57:56,49.32165,-123.40439,6.9,270.8,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T04:59:02,49.38351,-123.2994,9.1,82.9,85.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316008039,2020-06-01T04:59:40,49.35584,-123.27315,0.0,95.1,511.0,WINESK,,VG9188,37.0,,12.0,4.0,2.2,,B
316005498,2020-06-01T04:59:26,49.32181,-123.40886,6.9,273.1,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T05:00:13,49.38385,-123.2948,9.2,83.4,85.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316001247,2020-06-01T05:00:02,49.38379,-123.29551,9.1,84.2,85.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316039164,2020-06-01T05:01:25,49.35599,-123.27168,0.0,360.0,511.0,PORTOFINO,IMO0000000,,37.0,,20.0,4.0,,,B
316027057,2020-06-01T05:00:46,49.37888,-123.33283,0.0,358.9,511.0,CHINOOK,,CFK5228,37.0,,,,,,B
316005498,2020-06-01T05:00:36,49.32186,-123.41227,6.9,269.9,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T05:01:24,49.38412,-123.29024,9.2,86.2,87.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316005498,2020-06-01T05:01:46,49.3219,-123.41569,6.9,271.5,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316027057,2020-06-01T05:03:47,49.37889,-123.33283,0.0,358.9,511.0,CHINOOK,,CFK5228,37.0,,,,,,B
316001247,2020-06-01T05:03:53,49.38432,-123.28036,9.2,89.5,90.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316020789,2020-06-01T05:04:27,49.35578,-123.27316,0.0,63.2,511.0,WINESK,IMO0000000,,37.0,,20.0,6.0,,,B
316001247,2020-06-01T05:05:03,49.38424,-123.27572,9.1,91.9,98.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316033399,2020-06-01T05:04:37,49.43695,-123.28691,7.9,190.9,191.0,SST SALISH,IMO9744489,CFCP,,8.0,,,,,A
316033399,2020-06-01T05:03:16,49.43991,-123.2862,8.0,186.9,190.0,SST SALISH,IMO9744489,CFCP,,8.0,,,,,A
316005498,2020-06-01T05:02:56,49.32194,-123.41907,6.9,271.0,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
